SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
MG,54038,UBERLÂNDIA,2,465767,466216,UBERLÂNDIA,Presidente,346437,,0.743798938095657,UBERLÂNDIA,0.191127752717561,0.326912383230242
MS,98051,DOURADINA,1,4177,4177,DOURADINA,Presidente,3354,,0.80296863777831,DOURADINA,0.0308834091453196,0.627962652621499
SP,69698,RIBEIRÃO PRETO,2,443222,439877,RIBEIRÃO PRETO,Presidente,297645,,0.6715483437194,RIBEIRÃO PRETO,0.130548573852381,0.342541660838135
SC,83810,WITMARSUM,1,3287,3287,WITMARSUM,Presidente,2511,,0.763918466686949,WITMARSUM,0.0355947672649833,0.605719501064801
BA,34770,CORAÇÃO DE MARIA,1,20971,20986,CORAÇÃO DE MARIA,Presidente,14560,,0.694292117686329,CORAÇÃO DE MARIA,0.0189309045825187,0.600686662533976
ES,56111,ARACRUZ,1,69628,69621,ARACRUZ,Presidente,49919,,0.716938587924398,ARACRUZ,0.0471505716091228,0.47218073188947
RJ,58777,PETRÓPOLIS,1,243659,242123,PETRÓPOLIS,Presidente,164234,,0.674032151490403,PETRÓPOLIS,0.0629075880636463,0.518831645865739
MG,41939,CACHOEIRA DE MINAS,1,9427,9421,CACHOEIRA DE MINAS,Presidente,6798,,0.721120186697783,CACHOEIRA DE MINAS,0.0622679537498674,0.533679855733531
RJ,58041,BELFORD ROXO,2,331087,331030,BELFORD ROXO,Presidente,222252,,0.671279754263985,BELFORD ROXO,0.0133318432919444,0.573840108491122
MT,89990,PONTES E LACERDA,2,29437,29425,PONTES E LACERDA,Presidente,20870,,0.708971702279444,PONTES E LACERDA,0.0762645650032272,0.488806603933825
AC,1074,CRUZEIRO DO SUL,1,54600,54492,CRUZEIRO DO SUL,Presidente,43157,,0.790421245421245,CRUZEIRO DO SUL,0.103717948717949,0.450659340659341
MA,8036,IMPERATRIZ,2,162477,162605,IMPERATRIZ,Presidente,128990,,0.793896982342116,IMPERATRIZ,0.104673276833029,0.360678742221976
PA,5436,SÃO DOMINGOS DO CAPIM,2,20233,20233,SÃO DOMINGOS DO CAPIM,Presidente,15345,,0.758414471408096,SÃO DOMINGOS DO CAPIM,0.032372856224979,0.652448969505264
BA,38334,RIBEIRA DO POMBAL,1,37638,37616,RIBEIRA DO POMBAL,Presidente,28394,,0.754397151814655,RIBEIRA DO POMBAL,0.0525798395238854,0.58127424411499
SP,64351,GARÇA,1,35270,35232,GARÇA,Presidente,23938,,0.678707116529629,GARÇA,0.106492770059541,0.413467536149702
RJ,58653,NITERÓI,1,384813,383456,NITERÓI,Presidente,293433,,0.762534010025649,NITERÓI,0.295759238903052,0.221109993685245
GO,92215,ANÁPOLIS,1,268394,268606,ANÁPOLIS,Presidente,193763,,0.721934916577867,ANÁPOLIS,0.131660916413929,0.362962659373906
RR,3093,MUCAJAÍ,2,11227,11220,MUCAJAÍ,Presidente,8356,,0.744277188919569,MUCAJAÍ,0.0773136189543066,0.46245657789258
DF,97012,BRASÍLIA,2,2084356,2086086,BRASÍLIA,Presidente,1543751,,0.7406369161506,BRASÍLIA,0.233625158082401,0.247622287171673
PB,20516,JOÃO PESSOA,2,517607,514674,JOÃO PESSOA,Presidente,417365,,0.80633569484184,JOÃO PESSOA,0.188419012880429,0.296033477136128
MG,43710,CONTAGEM,2,400069,398016,CONTAGEM,Presidente,307802,,0.769372283281134,CONTAGEM,0.14448257675551,0.314638224906204
RS,98213,TEUTÔNIA,2,23714,23706,TEUTÔNIA,Presidente,18535,,0.781605802479548,TEUTÔNIA,0.0918866492367378,0.480770852660876
PA,4642,MARITUBA,2,73289,73273,MARITUBA,Presidente,55283,,0.754315108679338,MARITUBA,0.0467191529424607,0.412462988988798
PA,4952,MONTE ALEGRE,2,45557,45540,MONTE ALEGRE,Presidente,31500,,0.691441490879558,MONTE ALEGRE,0.034308668261738,0.638387075531751
PE,24279,GRAVATÁ,2,64264,64253,GRAVATÁ,Presidente,44905,,0.698758247230176,GRAVATÁ,0.0254108054276111,0.664057637246359
SP,63312,CERQUILHO,2,34583,34573,CERQUILHO,Presidente,24279,,0.702050140242316,CERQUILHO,0.121042130526559,0.401266518231501
PB,20311,GURJÃO,1,2961,2955,GURJÃO,Presidente,2226,,0.75177304964539,GURJÃO,0.0688956433637285,0.552516041877744
PA,4839,MARABÁ,2,162409,160833,MARABÁ,Presidente,109498,,0.674211404540389,MARABÁ,0.0461119765530235,0.525211041260029
SP,70173,SANTA BÁRBARA D'OESTE,1,140097,140084,SANTA BÁRBARA D OESTE,Presidente,102209,,0.729558805684633,SANTA BÁRBARA D'OESTE,0.0551046774734648,0.447218712749024
MG,41114,BARBACENA,1,98685,98322,BARBACENA,Presidente,70028,,0.709611389775549,BARBACENA,0.0569387444900441,0.474215939605817
MG,41700,ARICANDUVA,2,4659,4654,ARICANDUVA,Presidente,2666,,0.572225799527796,ARICANDUVA,0.0158832367460829,0.688774415110539
RS,85995,CAXIAS DO SUL,2,322901,319754,CAXIAS DO SUL,Presidente,249160,,0.771629694550342,CAXIAS DO SUL,0.162669053363105,0.342510552770044
MG,50911,RIBEIRÃO DAS NEVES,1,202801,202857,RIBEIRÃO DAS NEVES,Presidente,143562,,0.70789591767299,RIBEIRÃO DAS NEVES,0.0156212247474125,0.541190625292775
MG,45535,GOVERNADOR VALADARES,1,205896,205835,GOVERNADOR VALADARES,Presidente,137086,,0.665802152543031,GOVERNADOR VALADARES,0.0509480514434472,0.495512297470568
BA,39659,VITÓRIA DA CONQUISTA,2,221849,217474,VITÓRIA DA CONQUISTA,Presidente,173514,,0.782126581593787,VITÓRIA DA CONQUISTA,0.108091539740995,0.460204914153321
PR,75353,CURITIBA,1,1338335,1330621,CURITIBA,Presidente,1044560,,0.780492178714597,CURITIBA,0.243926968957697,0.23398252306037
RS,86371,ERECHIM,2,78822,76878,ERECHIM,Presidente,58887,,0.747088376341631,ERECHIM,0.0930831493745401,0.440156301540179
BA,39152,SOUTO SOARES,1,13003,12995,SOUTO SOARES,Presidente,9690,,0.745212643236176,SOUTO SOARES,0.00215334922710144,0.664154425901715
MT,90727,SAPEZAL,2,14773,14764,SAPEZAL,Presidente,9524,,0.644689636499018,SAPEZAL,0.0653218709808434,0.469979015772017
MG,50431,PORTEIRINHA,2,31305,29136,PORTEIRINHA,Presidente,19554,,0.624628653569717,PORTEIRINHA,0.0189107171378374,0.630154927327903
SP,65811,ITUPEVA,2,40440,40415,ITUPEVA,Presidente,28237,,0.69824431256182,ITUPEVA,0.0971810089020772,0.370771513353116
BA,38490,SALVADOR,1,1827436,1806825,SALVADOR,Presidente,1355852,,0.741942262273481,SALVADOR,0.171416673415649,0.269803155897115
BA,38490,SALVADOR,2,1827436,1806736,SALVADOR,Presidente,1436805,,0.786240940859215,SALVADOR,0.171416673415649,0.269803155897115
BA,37915,PINDAÍ,2,12366,12370,PINDAÍ,Presidente,9086,,0.734756590651787,PINDAÍ,0.0181141840530487,0.706210577389617
PR,74713,CAMBÉ,1,69287,66513,CAMBÉ,Presidente,53122,,0.766695051019672,CAMBÉ,0.122995655750718,0.403582201567394
SP,65692,ITATIBA,2,79783,79766,ITATIBA,Presidente,55729,,0.698507200782122,ITATIBA,0.0971886241429879,0.409523332038154
MS,91570,SIDROLÂNDIA,1,30804,30795,SIDROLÂNDIA,Presidente,22472,,0.72951564731853,SIDROLÂNDIA,0.0654785092845085,0.537138034021556
PE,24198,GARANHUNS,1,88881,88794,GARANHUNS,Presidente,64176,,0.722044081412225,GARANHUNS,0.0940695986768826,0.475602209696111
PR,76953,MARMELEIRO,1,10943,9945,MARMELEIRO,Presidente,8912,,0.814401900758476,MARMELEIRO,0.103262359499223,0.507721831307685
GO,93750,GOIANIRA,2,33462,33459,GOIANIRA,Presidente,22629,,0.676259637798099,GOIANIRA,0.0429442352519276,0.500119538581077
CE,13897,FORTALEZA,1,1776365,1762957,FORTALEZA,Presidente,1361788,,0.766614969333442,FORTALEZA,0.101886718101291,0.390103385283993
MG,53554,SOLEDADE DE MINAS,1,5018,5011,SOLEDADE DE MINAS,Presidente,3649,,0.72718214428059,SOLEDADE DE MINAS,0.0448385811080112,0.59824631327222
